Spirited Away	['Atmospheric', 'Offbeat', 'Stylized', 'Exciting', 'young_heroes', 'rescue', 'curses_spells_and_rituals', 'Escapades', 'Imaginary', 'Supernatural', 'Youth', 'ghost', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'FANTASY', 'foreign', 'Anime', 'contemporary', '21st_century', 'Asia', 'Japan', 'Theme_Park', 'Family_outing', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Berlin_festival_winner', 'Prestigious_Awards', 'surreal', 'Serious', 'Fantastic']
Downfall	['Disturbing', 'Bleak', 'Gloomy', 'Thought_Provoking', 'head_of_state', 'downfall', 'psychological', 'isolation', 'Confined', 'Life_is_a_bitch', 'Mind_and_soul', 'State_affairs', 'DRAMA', 'HISTORICAL', 'PERIOD', 'WAR', 'foreign', '20th_century', '40s', 'World_War_2', 'Europe', 'Germany', 'award_winner', 'controversial', 'critically_acclaimed', 'Serious', 'Realistic', 'Slow', 'Strong_Violent_Content']
Jaws	['Suspenseful', 'Scary', 'Tense', 'Rough', 'dangerous_animal', 'survival', 'Danger', 'Deadly', 'Escapades', 'Heroes', 'HORROR', 'THRILLER', 'Hollywood_Tone', '20th_century', '70s', 'Massachusetts', 'USA', 'Small_town', 'Ocean_or_Sea', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'gory', 'based_on_book', 'Serious', 'Realistic', 'Orchestral', 'Violent_Content']
The Deer Hunter	['Bleak', 'Emotional', 'Gloomy', 'Rough', 'Captivating', 'soldier', 'innocence_lost', 'friendship', 'anti_war', 'captivity', 'homecoming', 'Confined', 'Military', 'DRAMA', 'WAR', '20th_century', 'Vietnam_War', 'Asia', 'Vietnam', 'Battle_Zone', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Prestigious_Awards', 'Ensemble_cast', 'Epic', 'Episodic', 'Serious', 'Realistic', 'Slow', 'Profanity', 'Sexual_Content', 'Strong_Violent_Content']
Alien	['Suspenseful', 'Scary', 'Captivating', 'Tense', 'Atmospheric', 'Bleak', 'Exciting', 'androids_and_robots', 'deadly_creature', 'Evil_Alien', 'survival', 'alien_encounter', 'space_travel', 'Danger', 'Deadly', 'HORROR', 'THRILLER', 'Hollywood_Tone', 'Future', 'Outer_space', 'Spacecraft', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'Ensemble_cast', 'gory', 'Strong_Female_Presence', 'Serious', 'Fantastic', 'Slow', 'Special_effects', 'Strong_Violent_Content']
Feel the Noise	['Feel_Good', 'follow_your_dream', 'friendship', 'interracial_relations', 'siblings_relations', 'teenage_love', 'Artists_and_showbiz', 'Love_and_romance', 'DRAMA', 'MUSIC', 'contemporary', '21st_century', 'New_York', 'Latin_America', 'USA', 'Urban', 'Puerto_Rico', 'Teens', 'Serious', 'Realistic', 'Hip_hop', 'Latin', 'Mild_Violent_Content', 'Sexual_Content']
Die Hard Dracula	['Humorous', 'Scary', 'deadly_creature', 'vampire', 'good_versus_evil', 'dangerous_attraction', 'curses_spells_and_rituals', 'Danger', 'Deadly', 'Supernatural', 'HORROR', 'THRILLER', '90s', 'Europe', 'Village', 'Palaces_Castles_and_Temples', 'Campy', 'Serious', 'Fantastic']
Scarface	['Rough', 'Stylized', 'Captivating', 'Suspenseful', 'Exciting', 'criminal_heroes', 'gangsters', 'blind_ambition', 'drug_dealing', 'rise_and_fall', 'rise_to_the_top', 'Ambition', 'Crimes', 'CRIME', 'ACTION', '20th_century', '80s', 'Miami', 'USA', 'critically_acclaimed', 'cult', 'Modern_classic', 'Epic', 'Saga', 'gory', 'remake', 'Serious', 'Realistic', 'Nudity', 'Profanity', 'Strong_Violent_Content']
All About Eve	['Clever', 'Witty', 'Captivating', 'Cynical', 'Humorous', 'Biting', 'aging', 'showbiz', 'Ambition', 'Artists_and_showbiz', 'Lifestyle', 'Love_and_romance', 'Mind_and_soul', 'Rivalry', 'COMEDY', 'DRAMA', 'Hollywood_Tone', '20th_century', '50s', 'New_York', 'USA', 'Urban', 'award_winner', 'Classic', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'Irreverent_humor', 'Talky', 'Strong_Female_Presence', 'based_on_article', 'based_on_short_story', 'based_on_true_story', 'Semi_Serious', 'Realistic', 'Slow']
Stalker	['Atmospheric', 'Clever', 'Contemplative', 'Stylized', 'Bleak', 'Gloomy', 'Thought_Provoking', 'Mind_Bending', 'future_dystopia', 'Danger', 'Escapades', 'Mind_and_soul', 'obsessive_quest', 'human_nature', 'psychological', 'wish_come_true', 'foreign', 'DRAMA', 'FANTASY', 'award_winner', 'critically_acclaimed', 'masterpiece', 'Cannes_festival_winner', 'Prestigious_Awards', 'based_on_book', 'Serious', 'Fantastic', 'Slow']
The Great Dictator	['Humorous', 'Witty', 'Biting', 'Clever', 'Sentimental', 'head_of_state', 'anti_semitism', 'anti_war', 'mistaken_identity', 'Escapades', 'Hopes', 'Society', 'Disorder', 'COMEDY', 'DRAMA', 'PERIOD', '20th_century', '30s', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'Satire', 'slapstick', 'Irreverent_humor', 'Semi_Serious', 'Realistic']
Goodfellas	['Rough', 'Captivating', 'Stylized', 'Suspenseful', 'buddies', 'criminal_heroes', 'gangsters', 'blind_ambition', 'drug_dealing', 'rise_and_fall', 'Ambition', 'Crimes', 'CRIME', 'DRAMA', 'PERIOD', '20th_century', '50s', '60s', '70s', 'New_York', 'USA', 'award_winner', 'critically_acclaimed', 'Essential', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Epic', 'Voice_over', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Oldies', 'Rock', 'Profanity', 'Sexual_Content', 'Strong_Violent_Content']
Mystic River	['Bleak', 'Disturbing', 'Emotional', 'Gloomy', 'Captivating', 'Tense', 'Atmospheric', 'Contemplative', 'Police_Detective', 'dealing_with_death', 'Police_Investigation', 'psychological', 'death_in_the_family', 'haunted_by_the_past', 'murder', 'Crimes', 'DRAMA', 'Neo_noir', 'MYSTERY', 'contemporary', '20th_century', '21st_century', '70s', 'Boston', 'USA', 'Urban', 'award_winner', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'based_on_book', 'Serious', 'Realistic', 'Slow', 'Mild_Violent_Content']
Butch Cassidy and the Sundance Kid	['Exciting', 'Captivating', 'Clever', 'Feel_Good', 'Humorous', 'Sentimental', 'Suspenseful', 'Witty', 'buddies', 'criminal_heroes', 'chase', 'on_the_run', 'friendship', 'Chases_and_races', 'Crimes', 'Partners', 'ADVENTURE', 'CRIME', 'WESTERN', 'DRAMA', '19th_century', 'Old_west', 'Bolivia', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Prestigious_Awards', 'Irreverent_humor', 'On_the_Road', 'Semi_Serious', 'Realistic', 'Fast', 'Mild_Violent_Content', 'Profanity']
Reservoir Dogs	['Rough', 'Stylized', 'Clever', 'Witty', 'Captivating', 'Tense', 'criminal_heroes', 'crime_gone_awry', 'violence_spree', 'heist', 'Crimes', 'Deadly', 'Disorder', 'psychopath', 'CRIME', 'THRILLER', 'independent', 'MUSIC', '20th_century', '90s', 'USA', 'award_winner', 'critically_acclaimed', 'cult', 'Essential', 'Original', 'Irreverent_humor', 'Ensemble_cast', 'Nonlinear', 'gory', 'Talky', 'Serious', 'Realistic', 'Pop', 'Rock', 'Profanity', 'Sexual_Content', 'Strong_Violent_Content']
Disaster Movie	['Humorous', 'save_the_day', 'survival', 'chaos_and_mayhem', 'disaster', 'forces_of_nature', 'Danger', 'Escapades', 'Heroes', 'COMEDY', 'PARODY', 'contemporary', '21st_century', 'USA', 'Teens', 'Grossout_humor', 'slapstick', 'Silly_Humor', 'Campy', 'Not_Serious', 'Semi_fantastic', 'Fast', 'Special_effects', 'Mild_Violent_Content', 'Profanity', 'Sexual_Content']
Seven Samurai	['Stylized', 'Exciting', 'Captivating', 'master_warrior', 'samurai', 'heroic_mission', 'Danger', 'Heroes', 'Rivalry', 'gang', 'good_versus_evil', 'ACTION', 'ADVENTURE', 'PERIOD', 'foreign', 'DRAMA', '16th_century', 'Asia', 'Japan', 'Village', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'Prestigious_Awards', 'Venice_festival_winner', 'Ensemble_cast', 'Epic', 'Serious', 'Realistic', 'Slow', 'Mild_Violent_Content']
American Beauty	['Clever', 'Contemplative', 'Gloomy', 'Stylized', 'Captivating', 'Biting', 'Cynical', 'Atmospheric', 'crumbling_marriage', 'dysfunctional_family', 'midlife_crisis', 'suburban_life', 'under_the_surface', 'dull_life', 'Lifestyle', 'Mind_and_soul', 'DRAMA', '20th_century', '90s', 'Suburbs', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Satire', 'Voice_over', 'Semi_Serious', 'Realistic', 'Brief_Nudity', 'Mild_Violent_Content', 'Profanity', 'Sexual_Content']
Braveheart	['Rough', 'Sincere', 'Exciting', 'Emotional', 'Captivating', 'master_warrior', 'tragic_hero', 'underdog', 'leadership', 'vengeance', 'Battles', 'Dishonesty', 'Heroes', 'DRAMA', 'HISTORICAL', 'PERIOD', 'WAR', 'Hollywood_Tone', 'Middle_ages', 'Europe', 'Scotland', 'Battle_Zone', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Epic', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Strong_Violent_Content']
Harvey	['Humorous', 'Offbeat', 'Touching', 'Sincere', 'Witty', 'odd_couple', 'Partners', 'Friends', 'best_friends', 'siblings_relations', 'Mind_and_soul', 'Misfit', 'Family_relations', 'COMEDY', 'FANTASY', '20th_century', '40s', 'Family_outing', 'Classic', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Comedy_of_errors', 'Screwball', 'based_on_play', 'Semi_Serious', 'Semi_fantastic']
Groundhog Day	['Feel_Good', 'Humorous', 'Sentimental', 'Witty', 'Cynical', 'Clever', 'Offbeat', 'nothing_goes_right', 'wooing', 'Hopes', 'Love_and_romance', 'Mind_and_soul', 'Disorder', 'opposites_attract', 'introspection', 'COMEDY', 'FANTASY', 'ROMANCE', 'Hollywood_Tone', '20th_century', '90s', 'Pennsylvania', 'USA', 'Small_town', 'Date_night', 'award_winner', 'critically_acclaimed', 'cult', 'Modern_classic', 'Prestigious_Awards', 'Original', 'Dry_Humor', 'surreal', 'Semi_Serious', 'Semi_fantastic']
Star Trek	['Stylized', 'Exciting', 'Atmospheric', 'Offbeat', 'Suspenseful', 'alien_encounter', 'space_travel', 'Escapades', 'Imaginary', 'Space_and_aliens', 'benign_alien', 'heroic_mission', 'space_wars', 'ADVENTURE', 'Futuristic', 'FANTASY', 'Future', 'Outer_space', 'Spacecraft', 'award_winner', 'Classic', 'critically_acclaimed', 'cult', 'Essential', 'Hit_TV_Series', 'Serious', 'Fantastic']
Soultaker	['Offbeat', 'on_the_run', 'supernatural_romance', 'afterlife', 'reincarnation', 'Supernatural', 'ghost', 'mysterious_character', 'tragic_hero', 'FANTASY', 'HORROR', 'independent', 'THRILLER', 'Hospital', 'Semi_Serious', 'Semi_fantastic']
Django Unchained	['Exciting', 'Atmospheric', 'Rough', 'Stylized', 'Suspenseful', 'Captivating', 'Tense', 'bounty_hunter', 'lone_wolves', 'vengeance', 'Tough_Heroes', 'Danger', 'Heroes', 'Rivalry', 'mysterious_character', 'WESTERN', 'Spaghetti_Western', 'Mississippi', 'USA', 'All_star_cast', 'Talky', 'Serious', 'Realistic', 'Orchestral']
Life Is Beautiful	['Emotional', 'Sentimental', 'Captivating', 'Bittersweet', 'Humorous', 'Touching', 'anti_heroes', 'survival', 'human_spirit', 'parents_and_children', 'captivity', 'holocaust', 'wartime_life', 'Against_humanity', 'DRAMA', 'foreign', 'COMEDY', 'PERIOD', 'WAR', '20th_century', '40s', 'World_War_2', 'Europe', 'Italy', 'Concentration_camp', 'Ghetto', 'award_winner', 'blockbuster', 'controversial', 'critically_acclaimed', 'Essential', 'Original', 'oscar_winner', 'Modern_classic', 'Semi_Serious', 'Realistic', 'Violent_Content']
The Big Lebowski	['Clever', 'Humorous', 'Witty', 'Feel_Good', 'Offbeat', 'buddies', 'nothing_goes_right', 'mistaken_identity', 'Stoners', 'Crimes', 'Friends', 'Disorder', 'amateur_detective', 'COMEDY', 'CRIME', 'independent', '20th_century', '90s', 'Los_Angeles', 'USA', 'critically_acclaimed', 'cult', 'Essential', 'Modern_classic', 'Irreverent_humor', 'All_star_cast', 'Twists_and_turns', 'surreal', 'Talky', 'Semi_Serious', 'Realistic', 'Rock', 'Profanity', 'Violent_Content']
The Prestige	['Atmospheric', 'Stylized', 'Suspenseful', 'Captivating', 'Tense', 'Mind_Bending', 'uninhibited_rivalry', 'obsession', 'psychological', 'Wizards_and_Magicians', 'Mind_and_soul', 'Rivalry', 'Artists_and_showbiz', 'DRAMA', 'PERIOD', 'THRILLER', 'Hollywood_Tone', 'MYSTERY', '19th_century', '20th_century', 'Victorian', 'England', 'Europe', 'London', 'award_winner', 'critically_acclaimed', 'Modern_classic', 'Twists_and_turns', 'based_on_book', 'Serious', 'Semi_fantastic', 'Mild_Violent_Content']
Pulp Fiction	['Clever', 'Rough', 'Stylized', 'Contemplative', 'Witty', 'Exciting', 'Captivating', 'Tense', 'criminal_heroes', 'violence_spree', 'Crimes', 'Deadly', 'Dishonesty', 'on_the_run', 'cons_and_scams', 'Tough_Heroes', 'CRIME', 'independent', 'Postmodernism', 'MUSIC', '20th_century', '90s', 'California', 'Los_Angeles', 'USA', 'Urban', 'award_winner', 'blockbuster', 'critically_acclaimed', 'cult', 'Essential', 'groundbreaking', 'masterpiece', 'Original', 'Dark_Humor', 'Irreverent_humor', 'All_star_cast', 'Ensemble_cast', 'Episodic', 'Multiple_stories', 'Nonlinear', 'gory', 'Talky', 'Semi_Serious', 'Realistic', 'Pop', 'Rock', 'Strong_Sexual_Content', 'Profanity', 'Strong_Violent_Content']
The Creeping Terror	['Suspenseful', 'Scary', 'Offbeat', 'Evil_Alien', 'save_the_world', 'alien_encounter', 'Danger', 'Heroes', 'Space_and_aliens', 'deadly_creature', 'destiny', 'HORROR', 'independent', '20th_century', '60s', 'California', 'USA', 'Spacecraft', 'Campy', 'Semi_Serious', 'Fantastic', 'Special_effects']
The Touch of Satan	['Atmospheric', 'Scary', 'supernatural_ability', 'curses_spells_and_rituals', 'Danger', 'Deadly', 'Supernatural', 'mentally_unstable', 'fall_in_love', 'Wizards_and_Magicians', 'HORROR', 'FANTASY', 'ROMANCE', 'THRILLER', 'independent', 'Countryside', 'Farm', 'Serious', 'Semi_fantastic']
The Kid	['Clever', 'Emotional', 'Humorous', 'Touching', 'Bittersweet', 'orphan', 'fighting_the_system', 'parents_and_children', 'down_on_your_luck', 'Life_is_a_bitch', 'Society', 'Family_relations', 'single_parent', 'DRAMA', 'Silent', 'COMEDY', '20s', '20th_century', 'USA', 'Urban_Ghetto', 'Classic', 'critically_acclaimed', 'masterpiece', 'Semi_Serious', 'Realistic']
Plump Fiction	['Humorous', 'Clever', 'Witty', 'Crimes', 'Disorder', 'clergy', 'cons_and_scams', 'psychopath', 'Hitman', 'Deadly', 'Dishonesty', 'COMEDY', 'CRIME', 'independent', 'PARODY', '90s', 'Teens', 'Irreverent_humor', 'Silly_Humor', 'Not_Serious', 'Realistic', 'Fast']
Die Hard	['Rough', 'Exciting', 'Clever', 'Suspenseful', 'Witty', 'master_criminal', 'one_man_army', 'tough_law_enforcer', 'save_the_day', 'heist', 'Chases_and_races', 'Confined', 'Crimes', 'ACTION', 'Hollywood_Tone', 'CRIME', 'THRILLER', '20th_century', '80s', 'Los_Angeles', 'USA', 'Skyscraper', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'Modern_classic', 'based_on_book', 'Serious', 'Realistic', 'Fast', 'Profanity', 'Violent_Content']
Santa with Muscles	['Feel_Good', 'Humorous', 'goofy_hero', 'mischievous_children', 'vengeance', 'fish_out_of_water', 'mistaken_identity', 'Rivalry', 'Disorder', 'orphan', 'COMEDY', 'independent', 'FAMILY', 'California', 'USA', 'Family_outing', 'Semi_Serious', 'Fantastic']
Big Fish	['Feel_Good', 'Sentimental', 'Stylized', 'Touching', 'Offbeat', 'parents_and_children', 'true_love', 'Escapades', 'Hopes', 'Love_and_romance', 'Couples', 'Family_relations', 'adventurer', 'DRAMA', 'FANTASY', 'ADVENTURE', 'PERIOD', 'ROMANCE', '20th_century', '30s', '40s', '50s', '60s', '70s', '80s', 'USA', 'Date_night', 'award_winner', 'critically_acclaimed', 'All_star_cast', 'Fairytale', 'On_the_Road', 'Voice_over', 'surreal', 'Talky', 'based_on_book', 'Semi_Serious', 'Semi_fantastic', 'Brief_Nudity', 'Mild_Violent_Content']
The Dark Knight	['Bleak', 'Rough', 'Exciting', 'Stylized', 'Suspenseful', 'master_villain', 'secret_identity', 'superhero', 'fighting_crime', 'good_versus_evil', 'mind_game', 'psychopath', 'Crimes', 'Hollywood_Tone', 'ACTION', 'CRIME', 'FANTASY', 'contemporary', '21st_century', 'USA', 'Urban', 'Teens', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'Golden_globe_winner', 'Prestigious_Awards', 'oscar_winner', 'All_star_cast', 'based_on_comics', 'Serious', 'Semi_fantastic', 'Special_effects', 'Violent_Content']
No Country for Old Men	['Bleak', 'Gloomy', 'Rough', 'Stylized', 'Suspenseful', 'Captivating', 'Tense', 'Atmospheric', 'track_down', 'uninhibited_rivalry', 'violence_spree', 'human_nature', 'psychopath', 'Hitman', 'Chases_and_races', 'Crimes', 'CRIME', 'DRAMA', 'THRILLER', 'Neo_noir', 'PERIOD', '20th_century', '80s', 'Mexico', 'Latin_America', 'Texas', 'USA', 'award_winner', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Prestigious_Awards', 'Ensemble_cast', 'Twists_and_turns', 'Voice_over', 'gory', 'based_on_book', 'Serious', 'Realistic', 'Slow', 'Profanity', 'Strong_Violent_Content']
Unforgiven	['Bleak', 'Rough', 'Captivating', 'Tense', 'Atmospheric', 'Contemplative', 'Suspenseful', 'bounty_hunter', 'good_versus_evil', 'redemption', 'Chases_and_races', 'Deadly', 'Heroes', 'Hopes', 'Mind_and_soul', 'PERIOD', 'WESTERN', 'DRAMA', '19th_century', 'Old_west', 'USA', 'Wyoming', 'Small_town', 'award_winner', 'blockbuster', 'critically_acclaimed', 'masterpiece', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Serious', 'Realistic', 'Slow', 'Profanity', 'Violent_Content']
The Hillz	['coming_of_age', 'friendship', 'social_decay', 'suburban_life', 'teenage_life', 'Crimes', 'Lifestyle', 'Youth', 'CRIME', 'DRAMA', 'contemporary', 'California', 'USA', 'Suburbs', 'Dark_Humor', 'surreal', 'Serious', 'Realistic']
The Horror of Party Beach	['Humorous', 'Offbeat', 'Scary', 'dangerous_animal', 'deadly_creature', 'mad_scientist', 'slasher', 'zombie', 'experiment_gone_awry', 'Danger', 'Deadly', 'HORROR', '60s', 'beach', 'Ocean_or_Sea', 'Campy', 'Semi_Serious', 'Fantastic', 'Rock']
Slumdog Millionaire	['Feel_Good', 'Sincere', 'Touching', 'Captivating', 'Uplifting', 'Clever', 'Emotional', 'Rough', 'orphan', 'underdog', 'coming_of_age', 'contests_and_competitions', 'siblings_relations', 'true_love', 'against_the_odds', 'destiny', 'DRAMA', 'independent', 'contemporary', '20th_century', '21st_century', '90s', 'Asia', 'India', 'Urban_Ghetto', 'Date_night', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'Epic', 'based_on_book', 'Serious', 'Realistic', 'Indian', 'Violent_Content']
Dog Day Afternoon	['Gloomy', 'Captivating', 'Tense', 'Bleak', 'Disturbing', 'Rough', 'Suspenseful', 'hostages', 'transsexual', 'crime_gone_awry', 'Confined', 'Crimes', 'Couples', 'Disorder', 'criminal_heroes', 'CRIME', 'DRAMA', '20th_century', '70s', 'New_York', 'USA', 'Bank', 'Classic', 'critically_acclaimed', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'based_on_article', 'based_on_true_story', 'Serious', 'Realistic', 'Violent_Content']
The Wrestler	['Bleak', 'Gloomy', 'Sincere', 'Contemplative', 'Emotional', 'aging', 'human_nature', 'psychological', 'midlife_crisis', 'Estrangement', 'Life_is_a_bitch', 'Mind_and_soul', 'Unfulfillment', 'DRAMA', 'independent', 'SPORT', 'contemporary', '21st_century', 'New_Jersey', 'USA', 'award_winner', 'critically_acclaimed', 'Golden_globe_winner', 'Prestigious_Awards', 'Venice_festival_winner', 'Serious', 'Realistic', 'Slow', 'Nudity', 'Sexual_Content', 'Violent_Content']
Rebecca	['Atmospheric', 'Gloomy', 'Suspenseful', 'Captivating', 'Stylized', 'Mind_Bending', 'Tense', 'psychological', 'haunted_by_the_past', 'Crimes', 'Love_and_romance', 'Mind_and_soul', 'Couples', 'Power_relations', 'master_and_servant', 'MYSTERY', 'ROMANCE', 'THRILLER', 'DRAMA', '20th_century', '30s', 'England', 'Europe', 'Estate', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Twists_and_turns', 'based_on_book', 'Serious', 'Realistic', 'Slow']
Yojimbo	['Atmospheric', 'Suspenseful', 'Exciting', 'Bleak', 'anti_heroes', 'gang', 'lone_wolves', 'samurai', 'betrayal', 'Crimes', 'Dishonesty', 'Heroes', 'ACTION', 'CRIME', 'PERIOD', 'foreign', '19th_century', 'Asia', 'Japan', 'Small_town', 'Village', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'based_on_book', 'Serious', 'Realistic', 'Slow', 'Violent_Content']
Gran Torino	['Sincere', 'Contemplative', 'Emotional', 'Rough', 'Sentimental', 'Suspenseful', 'Captivating', 'Thought_Provoking', 'friendship', 'interracial_relations', 'Elderly', 'Mind_and_soul', 'Society', 'Friends', 'anti_heroes', 'gang', 'DRAMA', 'CRIME', 'contemporary', '21st_century', 'Detroit', 'USA', 'Urban', 'blockbuster', 'critically_acclaimed', 'Serious', 'Realistic', 'Slow', 'Jazz', 'Profanity', 'Violent_Content']
Cinema Paradiso	['Contemplative', 'Sentimental', 'Touching', 'Captivating', 'Uplifting', 'Bittersweet', 'Sincere', 'coming_of_age', 'friendship', 'Mind_and_soul', 'Youth', 'Friends', 'young_heroes', 'human_nature', 'parents_and_children', 'DRAMA', 'foreign', 'Melodrama', 'PERIOD', '20th_century', '40s', 'Europe', 'Italy', 'Sicily', 'Village', 'Date_night', 'award_winner', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Modern_classic', 'Cannes_festival_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'Serious', 'Realistic', 'Slow']
Dial M for Murder	['Clever', 'Suspenseful', 'Contemplative', 'Mind_Bending', 'Tense', 'mind_game', 'psychological', 'murder', 'woman_in_danger', 'Crimes', 'Deadly', 'Dishonesty', 'Mind_and_soul', 'CRIME', 'MYSTERY', 'THRILLER', 'DRAMA', '20th_century', '50s', 'England', 'Europe', 'London', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'Twists_and_turns', 'Talky', 'based_on_play', 'Serious', 'Realistic', 'Violent_Content']
Sin City	['Atmospheric', 'Bleak', 'Gloomy', 'Rough', 'Stylized', 'Suspenseful', 'criminal_heroes', 'good_versus_evil', 'vengeance', 'violence_spree', 'dystopia', 'social_decay', 'Tough_Heroes', 'Crimes', 'ACTION', 'CRIME', 'THRILLER', 'independent', 'Neo_noir', 'Hollywood_Tone', 'contemporary', '21st_century', 'Urban', 'award_winner', 'critically_acclaimed', 'All_star_cast', 'Ensemble_cast', 'Episodic', 'Multiple_stories', 'Nonlinear', 'Twists_and_turns', 'Voice_over', 'gory', 'based_on_comics', 'Serious', 'Semi_fantastic', 'Fast', 'Nudity', 'Profanity', 'Sexual_Content', 'Strong_Violent_Content']
12 Angry Men	['Clever', 'Sincere', 'Captivating', 'Tense', 'Contemplative', 'Rough', 'Thought_Provoking', 'Uplifting', 'legal_action', 'idealism', 'Injustice', 'Hopes', 'Legal', 'Society', 'uncover_truth', 'moral_dilemma', 'DRAMA', 'Realism', '20th_century', '50s', 'New_York', 'USA', 'Indoors', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Berlin_festival_winner', 'Prestigious_Awards', 'Ensemble_cast', 'Talky', 'based_on_film', 'based_on_play', 'Serious', 'Realistic', 'Slow']
Ratatouille	['Feel_Good', 'Humorous', 'Exciting', 'anti_heroes', 'odd_couple', 'unlikely_partners', 'follow_your_dream', 'rise_to_the_top', 'friendship', 'fish_out_of_water', 'cooking_and_food', 'ANIMATION', 'COMEDY', 'FAMILY', 'contemporary', '21st_century', 'Europe', 'France', 'Paris', 'restaurant', 'Family_outing', 'Kids', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'Voice_over', 'Semi_Serious', 'Fantastic', 'Computer_animated']
Chairman of the Board	['Humorous', 'goofy_hero', 'mad_scientist', 'nothing_goes_right', 'rise_to_the_top', 'fish_out_of_water', 'Ambition', 'Workplace', 'Friends', 'COMEDY', 'independent', '90s', 'Family_outing', 'Teens', 'Silly_Humor', 'Not_Serious', 'Semi_fantastic']
Casino	['Rough', 'Captivating', 'Clever', 'Stylized', 'Tense', 'Cynical', 'criminal_heroes', 'gangsters', 'blind_ambition', 'rise_and_fall', 'destructive_relationship', 'Ambition', 'Crimes', 'Mind_and_soul', 'CRIME', 'DRAMA', 'PERIOD', '20th_century', '70s', '80s', 'Las_Vegas', 'USA', 'casino', 'award_winner', 'critically_acclaimed', 'Epic', 'Voice_over', 'Talky', 'Strong_Female_Presence', 'Serious', 'Realistic', 'Pop', 'Rock', 'Profanity', 'Sexual_Content', 'Strong_Violent_Content']
In the Mood for Love	['Contemplative', 'Gloomy', 'Stylized', 'Captivating', 'Atmospheric', 'Touching', 'friendship', 'infidelity', 'love_affair', 'Dishonesty', 'Love_and_romance', 'Unfulfillment', 'Couples', 'couple_relations', 'DRAMA', 'ROMANCE', 'foreign', 'Melodrama', 'PERIOD', '20th_century', '60s', 'Asia', 'Hong_Kong', 'Urban', 'award_winner', 'Serious', 'Realistic', 'Slow', 'Profanity']
The 400 Blows	['Contemplative', 'Stylized', 'Captivating', 'Atmospheric', 'Sentimental', 'Sincere', 'Life_is_a_bitch', 'Mind_and_soul', 'Society', 'Youth', 'juvenile_delinquency', 'parents_and_children', 'dysfunctional_family', 'Family_problems', 'DRAMA', 'foreign', 'New_wave', '20th_century', '50s', 'Europe', 'France', 'Paris', 'Urban', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'groundbreaking', 'masterpiece', 'Serious', 'Realistic']
The Thing	['Suspenseful', 'Scary', 'Tense', 'deadly_creature', 'survival', 'alien_encounter', 'Confined', 'Danger', 'Deadly', 'Escapades', 'Mind_and_soul', 'HORROR', 'THRILLER', '20th_century', '80s', 'Antarctica', 'critically_acclaimed', 'Modern_classic', 'gory', 'based_on_short_story', 'remake', 'Serious', 'Fantastic', 'Special_effects', 'Strong_Violent_Content']
